stop_id,stop_name,stop_desc,stop_lat,stop_lon,location_type,parent_station,wheelchair_boarding
fish.collects.questions,Kira Najjeera Rd,,0.38717,32.62564,,,
stolen.treating.strapped,Tosha Petrol Station (Najeera),,0.38855,32.62554,,,
spaceship.pumps.skinning,Glorious Nursery School,,0.35743,32.5771,,,
hopping.driving.purchaser,Teaching World Church,,0.35337,32.57908,,,
frown.certainty.landscape,Jarrk Foods,,0.38461,32.62584,,,
amplified.warmers.skidding,Omega Fuel Station,,0.37655,32.62534,,,
cheerily.scorpions.loudness,Najeera Police,,0.38118,32.626,,,
mend.advising.violin,Kigowa,,0.3616,32.62009,,,
feuds.easily.clays,Mbogo Rd - Victoria Close Jct,,0.37518,32.62508,,,
swarm.deodorant.sketch,Oryx Fuel Station,,0.36814,32.62489,,,
perfectly.outcasts.value,St. Johns Kiwatule Church of Uganda,,0.37165,32.62411,,,
active.panels.clenching,Najeera Progressive School,,0.3828,32.62596,,,
implore.sketches.staining,Kiwatule Country Club,,0.3669,32.62473,,,
selection.magnets.bring,Mogas Petrol Station,,0.36291,32.62492,,,
relegate.flocking.crossword,Kiwatule Mosquee,,0.36341,32.62399,,,
blown.stopwatch.acclaim,Winterland Primary School,,0.35992,32.57712,,,
aced.view.alarm,De Neighbours,,0.36218,32.62287,,,
heartened.fairness.exonerate,St. Francis Primary School,,0.36065,32.61847,,,
pebble.home.outbursts,Sal's Hotel - Jukena Supermarket,,0.36202,32.62205,,,
skippers.skims.parent,Seroma Ltd,,0.36455,32.62407,,,
balancing.pinches.bags,Katooke Stage,,0.38379,32.54044,,,
resembles.greet.recitals,Kanyogoga Service Garage,,0.37521,32.5209,,,
asset.presides.lobster,Wakiso Taxi Park,,0.3991,32.47848,,,
archive.glaze.tweezers,Masitowa,,0.36804,32.5232,,,
assure.loom.snares,Masaba General Hardware,,0.38086,32.51916,,,
wildfires.undivided.hairpin,Kyambuka,,0.38869,32.51005,,,
scratches.grape.vaulting,Kyewamala,,0.3858,32.51491,,,
untruth.equity.broads,Yesu Amala (Nansana),,0.37823,32.51998,,,
overgrown.stud.scrubbing,Hawa Secondary School,,0.39142,32.50522,,,
outbursts.processes.cabbage,Majab,,0.39766,32.48302,,,
condiment.timidly.overruns,Smart Oils,,0.3964,32.49307,,,
stalemate.spot.causes,Mbogo Rd - Kings Sports Betting,,0.37292,32.62447,,,
coolest.forgets.threaded,Kobil Petro Station (Wakiso),,0.3979,32.48111,,,
monument.correct.spud,Total Petro Station (Nansana),,0.37244,32.52175,,,
guides.impressed.policy,Nansana Royal Primary School - Kabumbi,,0.36978,32.52256,,,
mess.suckle.assess,Kafene,,0.39604,32.49586,,,
kilt.sprint.reddish,Masiro Rd - Lubya Hill Rd Jct,,0.32827,32.54727,,,
danger.renewals.confined,Munaku Market (Masiro Rd.),,0.32935,32.54904,,,
dearest.unveils.wonderful,Pentecostal Church,,0.38657,32.55351,,,
cascaded.prude.clip,Spirit And Life Church Kawempe - Kisera Supermarket,,0.38348,32.55549,,,
chucked.record.reason,Kawempe Stage,,0.38006,32.55662,,,
jaundice.surprises.baked,Namungoona Stage,,0.34625,32.54178,,,
spreads.trickling.nests,Ddembe Clinic (Masiro Rd),,0.32597,32.54198,,,
monday.calm.handover,Lugala Trading Center,,0.3249,32.53958,,,
cakewalk.rocks.season,Kawempe Market,,0.38208,32.5562,,,
punks.crabmeat.calm,Shell (Kawempe),,0.38093,32.55668,,,
octagonal.securing.nerves,Hotel Sojovalo - Oryx Station (Rubaga Rd),,0.30773,32.56263,,,
obvious.slime.ordeals,Chief Magistrate's Court (Mengo),,0.30733,32.56082,,,
zoos.enigma.repeats,Bombo Rd - Maganjo Mosque Rd Jct,,0.38919,32.55171,,,
glass.playroom.ignore,Total Fuel Station (Kawempe),,0.38836,32.55227,,,
recall.repeating.crowned,Maganjo Police Station,,0.39222,32.54961,,,
funky.acclaim.symphony,Kawempe Stage,,0.37999,32.55713,,,
awkward.parent.infringe,Bombo Rd - Kalule Rd Jct,,0.39908,32.5464,,,
agreement.rivals.acoustics,Atlanta Inn,,0.39618,32.5475,,,
stripped.sporting.sundial,Kanyanya Police Station,,0.3743,32.5764,,,
retain.remaking.impaired,Medical Clinic (Kanyanya),,0.36995,32.57668,,,
embellish.scavenger.petal,Lwakataka,,0.36395,32.57526,,,
richest.depending.pill,Gayaza Rd (Kyamuka; Kyebando),,0.36267,32.57494,,,
scooped.finishers.jungle,Akas Supermarket,,0.39419,32.54831,,,
reefs.daisy.choppers,Camp David Pork Joint,,0.39051,32.55079,,,
meant.beginning.wishes,His Grace Supermarket,,0.36908,32.57658,,,
dragging.threaded.never,Gaz Petrol Station (Kanyanya),,0.36807,32.57634,,,
coast.builds.flattery,Namungoona Stage,,0.34419,32.54328,,,
journey.isolated.fewer,Kobil Petro Station (Masiro Rd). - Kasubi Royal Tombs,,0.32937,32.55221,,,
paramedic.trickle.fixed,Mpererwe Gayaza Rd,,0.37684,32.57651,,,
closed.dolly.education,Gayaza Rd - Kitambuza Rd Jct,,0.37484,32.57637,,,
scowls.detonated.jokes,Gaaga Bus Park - Kampala Nursery School (Kanyanya),,0.36652,32.57596,,,
roses.composers.jaundice,Inftra Uganda,,0.36532,32.57564,,,
iteration.splice.suppose,Kampala Quality Primary School,,0.36513,32.58469,,,
secures.enveloped.reason,Gayaza Rd - Katalemwa Rd Jct,,0.38708,32.57837,,,
unframed.fewer.remains,Grand Shoppers Supermarket,,0.38522,32.57775,,,
alike.letter.screamed,Crown Shepherd,,0.37391,32.58626,,,
wanted.lyrics.soldiers,Komamboga Rd,,0.3767,32.58671,,,
taxed.juror.loudness,Gayaza Rd - Kizanyiro Rd Jct,,0.38441,32.57746,,,
