trip_id,start_time,end_time,headway_secs,exact_times
trip_0137,10:00:00,16:00:00,600,0
trip_0137,20:00:00,23:00:00,600,0
trip_0137,07:00:00,10:00:00,300,0
trip_0137,16:00:00,20:00:00,1800,0
trip_0138,06:00:00,07:00:00,300,0
trip_0138,10:00:00,16:00:00,300,0
trip_0138,20:00:00,21:00:00,300,0
trip_0139,16:00:00,20:00:00,720,0
trip_0140,07:00:00,10:00:00,600,0
trip_0140,10:00:00,16:00:00,1200,0
trip_0140,16:00:00,19:00:00,600,0
trip_0141,07:00:00,10:00:00,600,0
trip_0142,05:30:00,07:00:00,600,0
trip_0142,10:00:00,16:00:00,600,0
trip_0142,20:00:00,21:00:00,600,0
trip_0143,16:00:00,20:00:00,300,0
trip_0144,07:00:00,10:00:00,900,0
trip_0144,10:00:00,16:00:00,600,0
trip_0144,16:00:00,20:00:00,900,0
trip_0144,20:00:00,22:00:00,600,0
trip_0145,05:00:00,07:00:00,1800,0
trip_0145,10:00:00,16:00:00,1800,0
trip_0145,20:00:00,23:00:00,1800,0
trip_0146,07:00:00,10:00:00,1200,0
trip_0147,16:00:00,20:00:00,900,0
trip_0148,06:00:00,07:00:00,900,0
trip_0148,07:00:00,10:00:00,180,0
trip_0148,10:00:00,16:00:00,900,0
trip_0148,16:00:00,20:00:00,1800,0
trip_0148,20:00:00,22:00:00,900,0
trip_0149,07:00:00,10:00:00,60,0
trip_0150,06:00:00,07:00:00,2820,0
trip_0150,10:00:00,16:00:00,2820,0
trip_0150,20:00:00,21:00:00,2820,0
trip_0151,16:00:00,20:00:00,3780,0
trip_0152,07:00:00,10:00:00,600,0
trip_0152,10:00:00,19:00:00,1200,0
trip_0153,07:00:00,10:00:00,2700,0
trip_0154,07:00:00,10:00:00,3600,0
trip_0155,16:00:00,20:00:00,300,0
trip_0156,16:00:00,20:00:00,300,0
trip_0157,07:00:00,10:00:00,2700,0
trip_0158,05:00:00,07:00:00,2100,0
trip_0158,10:00:00,16:00:00,2100,0
trip_0158,20:00:00,23:00:00,2100,0
trip_0159,16:00:00,20:00:00,900,0
trip_0160,08:00:00,10:00:00,1500,0
trip_0160,10:00:00,16:00:00,1800,0
trip_0160,16:00:00,20:00:00,300,0
trip_0160,20:00:00,23:30:00,1800,0
trip_0161,07:00:00,10:00:00,300,0
trip_0162,05:30:00,07:00:00,300,0
trip_0162,10:00:00,16:00:00,300,0
trip_0163,16:00:00,20:00:00,1200,0
trip_0164,07:00:00,16:00:00,600,0
trip_0164,16:00:00,20:00:00,1800,0
trip_0165,07:00:00,10:00:00,1200,0
trip_0166,06:00:00,07:00:00,300,0
trip_0166,10:00:00,16:00:00,300,0
trip_0166,20:00:00,21:00:00,300,0
trip_0167,16:00:00,20:00:00,900,0
trip_0168,07:00:00,10:00:00,900,0
trip_0168,10:00:00,16:00:00,600,0
trip_0168,16:00:00,20:00:00,1200,0
trip_0170,06:00:00,07:00:00,300,0
trip_0170,10:00:00,16:00:00,300,0
trip_0170,20:00:00,21:00:00,300,0
trip_0172,07:00:00,10:00:00,1800,0
trip_0172,10:00:00,19:00:00,1200,0
trip_0173,07:00:00,10:00:00,1200,0
trip_0174,06:00:00,07:00:00,1200,0
trip_0174,10:00:00,16:00:00,1200,0
trip_0175,16:00:00,20:00:00,1500,0
