trip_id,service_id,route_id,shape_id,direction_id,trip_headsign
223,Mo-Su,10286387,10286494,1,Akeikoi Abobo
224,Mo-Su,10286458,10286457,0,Terminus Gonzagueville
225,Mo-Su,10286458,10286456,1,Cité Administrative
226,Mo-Su,10286586,10286585,0,Vridi Iran
227,Mo-Su,10286586,10286811,1,PK 18
228,Mo-Su,10286821,10286819,0,Riviera Palmeraie
229,Mo-Su,10286821,10286820,1,CHU Treichville
230,Mo-Su,10289376,10289375,0,CHU Youpougon
231,Mo-Su,10289376,10289374,1,Abobo Gendarmerie
232,Mo-Su,10289376,10240675,0,Micao Youpougon
233,Mo-Su,10289376,10240674,1,Abobo Gendarmerie
234,Mo-Su,10289749,10289748,0,Grand carrefour Koumassi
235,Mo-Su,10289749,10289747,1,Amondji
236,Mo-Su,10289749,10235070,0,Yopougon Lavage Saint André
237,Mo-Su,10289749,10235071,1,Grand carrefour Koumassi
238,Mo-Su,10289989,10289988,0,La Vie
239,Mo-Su,10289989,10289987,1,Feh Kesse
240,Mo-Su,10289989,10261980,0,La Vie
241,Mo-Su,10289989,10262496,1,Abatta Village
242,Mo-Su,10290233,10290232,0,Plateau Gare Sud
243,Mo-Su,10290233,10290231,1,La Vie
244,Mo-Su,10290876,8778704,0,Riviera 2
245,Mo-Su,10290876,10290875,1,Terminus 81/82
246,Mo-Su,10291303,10291302,0,Nouveau Camp Akouedo
247,Mo-Su,10291303,10291301,1,Gare Nord
248,Mo-Su,10300549,10300548,0,Gare Nord Adjamé
249,Mo-Su,10300549,10300547,1,Abatta Village
250,Mo-Su,10301060,10256955,0,Anani
251,Mo-Su,10301060,10257084,1,Treicheville Port de pêche
252,Mo-Su,10301060,10301059,0,Vridi Canal
253,Mo-Su,10301060,10301058,1,Terminus Gonzagueville
254,Mo-Su,10301478,10366136,0,Port-Bouet derrière warf
255,Mo-Su,10301478,10301477,1,Gare Nord
256,Mo-Su,10301548,10301547,0,Abobo Gendarmerie
257,Mo-Su,10301548,10301546,1,Saint Jean
258,Mo-Su,10361922,10362134,0,Yopougon Niangon
