trip_id,arrival_time,departure_time,stop_id,stop_sequence
122,06:30:00,06:30:00,TX343T1S5,3
122,06:45:00,06:45:00,TX262T1S6,4
122,07:00:00,07:00:00,TX280T1S6,5

132,06:00:00,06:00:00,TX198T1S11,1
132,06:15:00,06:15:00,TX128T2S2,2
132,06:30:00,06:30:00,TX453T2S2,3
132,06:45:00,06:45:00,TX128T1S4,4
132,07:00:00,07:00:00,TX453T2S4,5
132,07:15:00,07:15:00,TX453T2S5,6
132,07:30:00,07:30:00,TX290T2S5,7
132,07:45:00,07:45:00,TX128T2S5,8
132,08:00:00,08:00:00,TX128T2S6,9
132,08:15:00,08:15:00,TX290T2S7,10
132,08:30:00,08:30:00,TX237T1S9,11

123,06:00:00,06:00:00,TX424T2S11,1
123,06:15:00,06:15:00,TX424T2S16,2
123,06:30:00,06:30:00,TX424T2S17,3
123,06:45:00,06:45:00,TX424T2S6,4
123,07:00:00,07:00:00,TX424T2S7,5
123,07:15:00,07:15:00,TX424T2S8,6

124,06:00:00,06:00:00,TX424T2S6,1
124,06:15:00,06:15:00,TX467T2S6,2
124,06:30:00,06:30:00,TX424T2S7,3

126,06:00:00,06:00:00,TX244T1S1,1
126,06:15:00,06:15:00,TX455T2S1,2
126,06:30:00,06:30:00,TX322T2S2,3
126,06:45:00,06:45:00,TX323T1S3,4
126,07:00:00,07:00:00,TX424T2S6,5
126,07:15:00,07:15:00,TX467T2S6,6

133,06:00:00,06:00:00,TX134T2S5,1

127,06:00:00,06:00:00,TX280T1S14,1
127,06:15:00,06:15:00,TX314T1S2,2
127,06:30:00,06:30:00,TX344T1S2,3
127,06:45:00,06:45:00,TX443T1S4,4
127,07:00:00,07:00:00,TX343T1S4,5
127,07:15:00,07:15:00,TX314T1S4,6
127,07:30:00,07:30:00,TX318T2S4,7
127,07:45:00,07:45:00,TX343T1S5,8
127,08:00:00,08:00:00,TX314T1S5,9
127,08:15:00,08:15:00,TX262T1S6,10
127,08:30:00,08:30:00,TX280T1S6,11

129,06:00:00,06:00:00,TX314T1S2,1
129,06:15:00,06:15:00,TX314T1S4,2
129,06:30:00,06:30:00,TX443T1S4,3
129,06:45:00,06:45:00,TX314T1S5,4
129,07:00:00,07:00:00,TX280T1S6,5
129,07:15:00,07:15:00,TX314T1S6,6
129,07:30:00,07:30:00,TX308T2S7,7

557,06:00:00,06:00:00,TX183T2S1,1
557,06:15:00,06:15:00,TX183T2S3,2
557,06:30:00,06:30:00,TX183T2S3,3

130,06:00:00,06:00:00,TX280T1S14,1
130,06:15:00,06:15:00,TX314T1S2,2
130,06:30:00,06:30:00,TX344T1S2,3
130,06:45:00,06:45:00,TX443T1S4,4
130,07:00:00,07:00:00,TX343T1S4,5
130,07:15:00,07:15:00,TX314T1S4,6
130,07:30:00,07:30:00,TX318T2S4,7
130,07:45:00,07:45:00,TX343T1S5,8
130,08:00:00,08:00:00,TX314T1S5,9
130,08:15:00,08:15:00,TX262T1S6,10
130,08:30:00,08:30:00,TX280T1S6,11
130,08:45:00,08:45:00,TX308T2S7,12


137,06:00:00,06:00:00,TX141T1S10,1
137,06:15:00,06:15:00,TX198T2S11,2
137,06:30:00,06:30:00,TX203T1S2,3
137,06:45:00,06:45:00,TX201T1S3,4
137,07:00:00,07:00:00,TX333T1S3,5
137,07:15:00,07:15:00,TX282T1S3,6
137,07:30:00,07:30:00,TX204T1S6,7
137,07:45:00,07:45:00,TX198T2S9,8

135,06:00:00,06:00:00,TX168T2S1,1
135,06:15:00,06:15:00,TX212T2S2,2
135,06:30:00,06:30:00,TX212T2S3,3
135,06:45:00,06:45:00,TX440T1S3,4
135,07:00:00,07:00:00,TX424T2S3,5
135,07:15:00,07:15:00,TX213T2S5,6

138,06:00:00,06:00:00,TX141T1S10,1
138,06:15:00,06:15:00,TX198T2S11,2
138,06:30:00,06:30:00,TX201T1S3,3
138,06:45:00,06:45:00,TX282T1S3,4
138,07:00:00,07:00:00,TX187T2S4,5
138,07:15:00,07:15:00,TX205T1S4,6
138,07:30:00,07:30:00,TX282T1S9,7
138,07:45:00,07:45:00,TX191T2S9,8
138,08:00:00,08:00:00,TX198T2S9,9

136,06:00:00,06:00:00,TX151T1S13,1
136,06:15:00,06:15:00,TX212T2S2,2
136,06:30:00,06:30:00,TX212T2S3,3
136,06:45:00,06:45:00,TX440T1S3,4
136,07:00:00,07:00:00,TX213T2S5,5
136,07:15:00,07:15:00,TX290T2S7,6
136,07:30:00,07:30:00,TX425T2S9,7

139,06:00:00,06:00:00,TX458T1S8,1

140,06:00:00,06:00:00,TX458T2S14,1
140,06:15:00,06:15:00,TX302T1S2,2
140,06:30:00,06:30:00,TX281T1S4,3
