route_id,agency_id,route_short_name,route_long_name,route_type
180,3,TX139,ሳሪስ ሸዋ ዳቦ - ቄራ መስኪድ - ሜክሲኮ ኬኬር,3
182,3,TX141,ሳሪስ ሸዋ ዳቦ - ሜክሲኮ ኬኬር - አውቶቢስ ተራ,3
183,3,TX142,ሳሪስ ሸዋ ዳቦ - ቃሊቲ ቶታል - አቃቂ ገበያ,3
184,3,TX143,ሳሪስ ሸዋ ዳቦ - ግሎባል - ስቴዲዬም,3
186,3,TX149,ሳሪስ አቦ  - ግሎባል ሆቴል  - ስቴዲየም ,3
214,3,TX202,ቄራ  - ካርል አደባበይ - ቶታል,3
187,3,TX151,ሳሪስ አቦ  - በጎተራ ሰንጋተራ /በቄራ -  ሲኒማ ራስ,3
200,3,TX181,ቃሊቲ መናኸሪያ  -  በአቃቂ -  ገላን ኦሮሚያ,3
190,3,TX154,ሳሪስ አቦ   - በስቴዲየም ኮሜርስ -  ተክለ ሀይማኖት,3
201,3,TX183,ቃሊቲ ማሰልጠኛ  -  በሀና ማርያም  -  ጀሞ,3
191,3,TX157,ስታዲየም -  - ቶታል ዘነበወርቅ,3
192,3,TX158,ስቴዲዬም - ላንቻ - ቄራ,3
215,3,TX203,ቄራ  - ከጎፋ ገብርኤል - ጎፋ ካምፕ ,3
194,3,TX162,ረጲኮንዶሚኒየም - የስ ውሃ  - አለም ገና ,3
208,3,TX194,ቄራ - ላንቻ - ስቴዲዬም,3
196,3,TX165,ራጉኤል ቤ/ክ   - በአፍንጮ በር ድልድይ - ምኒሊክ ሆ/ታል,3
197,3,TX174,ሽሮሜዳ - በ6-ኪሎ - አውቶብስ ተራ,3
198,3,TX175,ሽንቁሩ ሚካኤል - ገረመው ጠጅ ቤት - ሽሮሜዳ,3
199,3,TX179,ቃሊቲ መናኸሪያ - ቃሊቲ ጉምሩክ ቅ/ጽ/ቤት - ብሔራዊ,3
202,3,TX184,ቃሊቲ ቶታል - በአቦ ካዲስኮ - ቦሌ ድልድይ,3
209,3,TX197,ቄራ - ቄራ - 3 ቁጥር ማዞሪያ ,3
203,3,TX185,ቃሊቲ ቶታል - ሳሪስ ሸዋ ዳቦ - ቄራ አይሻ ዳቦ ጫፍ,3
204,3,TX186,ቃሊቲ ቶታል  - በማሰልጠኛ -  ሳሪስ ሸዋ ዳቦ ,3
205,3,TX187,ቃሊቲ ቶታል  - በጎተራ ቄራ -  ሜክሲኮ ፊሊፕስ  ህንፃ,3
212,3,TX200,ቄራ - አርብቶ አደር ሚኒስቴር - ወሎ ሰፈር,3
206,3,TX188,ቃሊቲ ቶታል  - በሳሪስ ጎተራ  -  ለገሀር,3
207,3,TX189,ቃሊቲ ቶታል  - በእስቴዲየም   -  ጎጃም በረንዳ,3
210,3,TX198,ቄራ - ተ/ሃይ ማኖት  - አዉቶቡስ ተራ ,3
211,3,TX199,ቄራ - ሰባተኛ  - አዉቶቡስ ተራ ,3
216,3,TX204,ቄራ  - ከብሔረፅጌ - ጀርመን አደባባይ,3
220,3,TX210,ቡናና ሻይ - አሜሪካ ኢንባሲ  - ሽሮ ሜዳ ,3
217,3,TX205,ቄራ አይሻ ዳቦ ጫፍ - ማሰልጠኛ - ቃሊቲ ቶታል,3
218,3,TX207,በሻሌ ሆቴል/ጉርድ ሾላ - ፍል ውሃ - ሸበሌ,3
219,3,TX208,ቡራዩማሪያም - ሳንሱሲ - አስኮ,3
221,3,TX212,ቡናና ሻይ  -  - 22 ጎላጎል ህንፃ ,3
224,3,TX223,ቦሌ ሚካኤል - ኪራይ ቤቶች - ፒያሳ ማዘጋጃ ,3
225,3,TX224,ቦሌ ሚካኤል - ጐሮ ት/ቤት  - ሰሚት ኮ/ሚኒየም ,3
227,3,TX226,ቦሌ ሚካኤል - ማሰልጠኛ  - ቃልቲ ቶታል ,3
228,3,TX227,ቦሌ ሚካኤል - አውራሪስ ሆቴል - 22 ጫፍ ,3
229,3,TX228,ቦሌ ሚካኤል - ኮሪያ ሆስፒታል  - ገርጂ መ/ሃይል,3
230,3,TX229,ቦሌ ሚካኤል - እስቴዲየም  - ቡናና ሻይ ,3
