shape_id,shape_pt_lat,shape_pt_lon,shape_pt_sequence,shape_dist_traveled
shape_0483,-17.8313789367676,31.0452308654785,5,252
shape_0483,-17.8300514221191,31.0451946258545,7,400
shape_0483,-17.8297882080078,31.0451774597168,8,429
shape_0483,-17.8294715881348,31.045108795166,9,465
shape_0483,-17.8288459777832,31.045051574707,10,535
shape_0483,-17.8285026550293,31.045036315918,11,573
shape_0483,-17.8278179168701,31.0449829101563,12,649
shape_0483,-17.8276309967041,31.0449390411377,13,671
shape_0483,-17.8274936676025,31.0449047088623,14,686
shape_0483,-17.8269119262695,31.0447444915771,15,753
shape_0483,-17.8253517150879,31.0442981719971,16,933
shape_0483,-17.8241310119629,31.0439987182617,17,1073
shape_0483,-17.8234539031982,31.0438785552979,18,1149
shape_0483,-17.8229465484619,31.0437259674072,19,1208
shape_0483,-17.8217620849609,31.043420791626,20,1343
shape_0483,-17.8211326599121,31.0432643890381,21,1415
shape_0483,-17.8203868865967,31.0430812835693,22,1500
shape_0483,-17.8196887969971,31.0429019927979,23,1580
shape_0483,-17.8189544677734,31.0427131652832,24,1664
shape_0483,-17.8179607391357,31.0424785614014,25,1777
shape_0483,-17.8172416687012,31.0423011779785,26,1860
shape_0483,-17.8170509338379,31.0421752929688,27,1885
shape_0483,-17.815975189209,31.041919708252,28,2007
shape_0483,-17.8158416748047,31.0418834686279,29,2023
